respondent_id,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,C041,C042,C043,C044,C045,C046,C047,C048,C049,C050,C051,C052,C053,C054,C055,C056,C057,C058,C059,C060,C061,C062,C063,C064,C065,C066,C067,C068,C069,C070,C071,C072,C073,C074,C075,C076,C077,C078,C079,C080,C081,C082,C083,C084,C085,C086,C087,C088,C089,C090,C091,C092,C093,C094,C095,C096,C097,C098,C099,C100,C101,C102,C103,C104,C105,C106,C107,C108,attention_flag,logic_flag,duplicate_flag,straightline_flag,visit_depth_bin,perception_mean,importance_mean,performance_mean,cognition_mean,motive_count,new_project_pref_count,promo_pref_count
40,2,3,4,1,1,3,4,2,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2,1,1,1,0,0,0,0,0,,,,,,,,,,,1,0,0,0,0,0,0,1,0,4,4,3,3,4,4,3,4,4,3,4,3,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,4,2,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,,0,0,0,0,0,3.538462,4,3.400000,3,4,4,3
41,2,3,4,1,1,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,1,0,0,0,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,1,0,0,0,0,4.461538,4,4,4,1,1,1
42,1,3,4,1,1,3,2,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,2,0,1,1,0,0,0,0,,,,,,,,,,,1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,,0,0,0,1,0,4,4,4,4,2,4,2
43,1,3,4,1,1,4,4,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,,,,,,,,,,,1,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,,1,0,0,1,0,3,3,3,3,2,2,2
44,2,3,4,1,1,3,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,,,,,,,,,,,1,0,0,0,0,0,0,0,0,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,,1,0,0,0,0,3.230769,3,3,3,1,6,6
45,1,3,4,1,1,4,4,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,,,,,,,,,,,1,0,0,0,0,1,0,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,1,0,0,1,0,4,4,4,4,2,2,2
46,1,3,4,1,1,4,5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,,,,,,,,,,,1,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,,1,0,0,1,0,3,3,3,3,2,2,2
47,1,3,4,1,1,3,5,2,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,3,1,1,0,1,1,1,0,,,,,,,,,,,1,1,1,1,1,1,1,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,,1,0,0,1,0,5,5,5,5,2,8,6
48,2,3,4,1,1,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,,1,0,0,1,0,4,4,4,4,1,2,4
49,2,3,4,3,4,2,4,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,0,0,0,0,4,4.100000,4,4,2,2,1
50,1,3,4,1,1,2,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,,,,,,,,,,,1,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,,1,0,0,1,0,3,5,5,4,1,3,4
51,1,3,4,1,1,3,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,,,,,,,,,,,1,0,0,1,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,0,0,1,0,5,5,5,5,2,1,1
52,1,3,4,1,1,4,4,2,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,,,,,,,,,,,1,0,0,1,1,0,0,0,0,4,3,3,5,3,2,4,3,4,3,4,3,1,3,4,5,5,3,4,4,1,2,4,5,4,5,3,4,4,4,5,4,5,3,3,4,4,4,4,4,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,,0,0,0,0,0,3.384615,3.700000,4.100000,3.750000,3,3,3
53,2,3,4,1,1,3,4,2,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,,,,,,,,,,,1,0,0,0,1,0,0,0,0,4,4,3,4,3,4,4,4,4,4,3,3,1,4,5,5,5,4,4,3,5,5,4,3,3,4,4,3,4,3,4,3,4,3,3,2,4,4,3,4,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,,0,0,0,0,0,3.692308,4.300000,3.500000,3.250000,4,3,4
54,2,3,4,1,1,3,2,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,1,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,0,0,1,0,3,3,3,3,2,1,1
55,1,3,4,1,1,2,4,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,4,4,4,5,5,4,3,4,3,5,4,4,1,5,5,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,4,2,4,5,5,4,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,,0,0,0,0,0,4.153846,4.600000,3.900000,3.750000,2,7,5
